Date,Solar_Irradiance_MJ_m2,Temperature_C,Relative_Humidity_pct,Cloud_Fraction,Wind_Speed_ms,Precipitation_mm
2019-01-01,4.7143,18.93,19.45,1.42,1.22,0.0
2019-01-02,4.6339,17.94,21.54,0.28,1.99,0.0
2019-01-03,4.5962,16.48,27.63,0.92,1.36,0.0
2019-01-04,3.8873,17.37,25.76,60.53,1.37,0.0
2019-01-05,4.0555,17.42,26.94,51.84,2.05,0.0
2019-01-06,4.4119,17.14,30.33,2.11,2.64,0.0
2019-01-07,3.6881,13.47,43.48,28.49,2.02,0.0
2019-01-08,4.2199,14.7,51.62,8.87,1.24,0.0
2019-01-09,4.3586,14.76,37.99,7.52,1.73,0.0
2019-01-10,4.6097,15.33,38.34,9.9,1.11,0.0
2019-01-11,4.5307,15.63,34.81,25.21,1.43,0.0
2019-01-12,3.997,17.17,34.88,21.09,1.73,0.0
2019-01-13,4.0759,17.8,34.74,0.59,1.55,0.0
2019-01-14,4.2931,15.27,42.02,4.99,2.2,0.0
2019-01-15,4.7342,15.43,26.27,16.78,1.37,0.0
2019-01-16,4.8792,16.88,18.29,7.4,1.21,0.0
2019-01-17,4.8182,18.01,19.55,3.36,1.42,0.0
2019-01-18,4.861,16.86,25.12,19.67,1.69,0.0
2019-01-19,4.9241,17.7,20.14,18.81,1.43,0.0
2019-01-20,5.0076,19.46,19.86,13.38,1.62,0.0
2019-01-21,4.5842,20.38,20.44,15.68,3.01,0.0
2019-01-22,4.3147,18.81,39.91,26.07,2.13,0.11
2019-01-23,4.4412,17.72,39.54,22.24,2.01,0.02
2019-01-24,3.8906,17.25,41.01,47.12,1.64,0.01
2019-01-25,1.6826,16.65,46.23,71.41,2.27,0.41
2019-01-26,3.876,14.4,51.5,39.97,2.69,0.0
2019-01-27,5.0933,13.2,30.73,1.93,2.37,0.0
2019-01-28,5.375,11.8,30.9,0.27,2.29,0.0
2019-01-29,5.4175,12.63,27.04,1.04,1.66,0.0
2019-01-30,5.3986,14.87,19.59,7.79,1.34,0.0
2019-01-31,4.0975,16.88,22.0,77.63,2.15,0.0
2019-02-01,4.7832,17.97,25.98,1.58,2.08,0.0
2019-02-02,4.4242,17.63,36.5,15.05,1.9,0.0
2019-02-03,3.726,19.06,38.01,32.36,1.48,0.0
2019-02-04,4.0066,20.8,38.33,63.95,1.59,0.0
2019-02-05,4.1225,22.1,34.8,54.54,1.88,0.0
2019-02-06,3.8729,22.94,36.47,39.07,2.88,0.09
2019-02-07,5.1283,20.38,38.01,29.09,3.62,1.48
2019-02-08,5.777,15.41,22.56,1.47,2.22,0.0
2019-02-09,5.8956,13.54,24.74,17.96,2.13,0.0
2019-02-10,5.8224,14.7,22.91,12.78,1.5,0.0
2019-02-11,5.699,15.71,22.1,5.38,1.66,0.0
2019-02-12,5.4571,18.9,23.03,4.2,1.82,0.0
2019-02-13,4.014,22.07,23.97,70.73,1.56,0.02
2019-02-14,4.2034,23.5,36.66,65.17,2.67,0.42
2019-02-15,5.0717,21.74,38.85,19.18,2.23,0.76
2019-02-16,5.5812,18.02,33.87,9.56,2.3,0.01
2019-02-17,6.0312,17.62,26.09,1.87,1.71,0.0
2019-02-18,3.5057,21.3,19.96,62.31,1.71,0.0
2019-02-19,5.6923,23.11,23.61,16.22,1.82,0.0
