Date,Solar_Irradiance_MJ_m2,Temperature_C,Relative_Humidity_pct,Cloud_Fraction,Wind_Speed_ms,Precipitation_mm
2019-01-01,3.4099,11.56,43.05,16.58,1.43,0.0
2019-01-02,3.2508,13.93,41.76,13.9,1.09,0.0
2019-01-03,2.9621,11.75,52.09,13.01,2.05,0.0
2019-01-04,2.243,11.43,55.33,75.69,1.42,0.0
2019-01-05,3.0211,12.79,52.08,35.21,1.57,0.0
2019-01-06,1.8187,12.34,63.8,64.55,1.67,0.9
2019-01-07,2.8879,12.43,67.93,9.03,2.04,0.06
2019-01-08,3.2846,12.23,60.67,36.61,2.16,0.0
2019-01-09,3.7186,12.44,49.31,0.23,2.71,0.0
2019-01-10,3.5518,13.08,44.41,41.81,1.86,0.0
2019-01-11,3.1142,14.44,36.52,16.32,0.72,0.0
2019-01-12,2.8282,15.27,36.57,39.64,0.79,0.0
2019-01-13,2.43,13.77,57.53,34.48,1.8,0.0
2019-01-14,4.1518,11.85,42.14,4.62,3.56,0.0
2019-01-15,3.1219,11.0,34.47,92.02,2.61,0.0
2019-01-16,3.1865,13.61,31.15,72.13,0.83,0.0
2019-01-17,3.5448,12.18,36.62,10.45,1.6,0.0
2019-01-18,3.601,12.39,45.86,8.16,1.73,0.0
2019-01-19,3.5491,14.79,41.06,33.07,1.56,0.0
2019-01-20,3.5597,18.05,35.15,79.15,1.06,0.0
2019-01-21,1.7162,16.12,51.0,98.09,2.92,14.89
2019-01-22,1.9442,13.94,77.31,89.45,2.42,18.7
2019-01-23,2.8366,14.31,68.17,33.8,1.79,0.01
2019-01-24,2.5656,14.36,63.81,71.77,1.96,1.0
2019-01-25,3.2316,11.3,64.11,34.32,2.34,1.19
2019-01-26,4.2499,10.02,56.6,1.55,1.85,0.0
2019-01-27,3.0922,9.42,52.8,32.82,2.34,0.0
2019-01-28,4.2828,9.55,47.06,0.31,2.71,0.0
2019-01-29,4.6366,10.37,42.77,12.07,2.47,0.0
2019-01-30,3.5342,11.29,42.05,79.19,1.49,0.0
2019-01-31,2.7542,13.3,42.03,88.6,2.07,0.03
2019-02-01,3.0744,13.51,51.54,65.86,1.43,0.0
2019-02-02,2.2798,12.07,56.52,59.57,1.87,0.0
2019-02-03,2.4509,12.78,56.4,59.85,1.6,0.0
2019-02-04,3.3535,13.98,48.33,47.39,1.47,0.0
2019-02-05,2.7223,16.96,49.18,49.49,1.28,0.02
2019-02-06,3.0703,17.5,71.34,50.11,2.28,3.84
2019-02-07,1.4297,16.32,75.74,81.04,3.25,10.76
2019-02-08,4.6522,12.79,56.55,7.16,2.05,0.23
2019-02-09,4.7534,11.93,49.2,3.54,2.61,0.0
2019-02-10,3.7337,12.85,44.8,72.59,1.49,0.0
2019-02-11,3.7774,14.17,46.28,64.74,1.11,0.0
2019-02-12,3.7738,15.61,42.6,82.61,0.92,0.0
2019-02-13,3.3389,16.68,41.56,97.76,0.95,0.0
2019-02-14,2.0618,17.04,56.1,81.73,2.67,2.5
2019-02-15,2.8032,15.98,77.94,78.38,1.22,4.9
2019-02-16,2.4331,15.24,72.56,73.97,1.36,0.08
2019-02-17,4.2331,14.73,55.01,55.47,2.23,0.0
2019-02-18,3.287,17.07,44.98,77.14,1.52,0.09
2019-02-19,3.7637,18.26,51.55,68.62,1.3,0.67
2019-02-20,1.5782,18.0,59.04,99.55,1.92,1.37
2019-02-21,3.9389,20.54,50.58,89.97,2.26,0.15
2019-02-22,4.2648,18.46,58.68,30.12,2.75,0.0
2019-02-23,5.4046,14.79,48.33,44.82,2.96,0.0
2019-02-24,5.003,16.13,40.92,45.2,1.91,0.0
2019-02-25,4.5749,16.82,42.04,49.27,1.25,0.0
2019-02-26,2.6923,16.36,51.12,94.69,1.54,2.54
2019-02-27,3.7476,13.76,62.49,43.28,1.89,0.75
2019-02-28,5.5517,14.0,49.59,7.01,2.08,0.0
2019-03-01,5.3959,15.54,39.93,16.92,1.77,0.0
2019-03-02,1.6985,16.57,52.56,99.72,1.67,6.42
2019-03-03,3.5995,17.16,65.43,62.1,1.88,0.22
2019-03-04,4.1443,17.75,62.05,29.55,1.71,0.27
2019-03-05,5.4017,17.12,51.86,15.94,2.24,0.0
2019-03-06,6.0482,16.6,44.5,4.28,2.22,0.0
2019-03-07,5.6054,18.11,38.22,8.73,1.75,0.0
2019-03-08,5.0974,19.64,41.94,20.65,1.46,0.0
2019-03-09,5.3602,19.57,44.42,19.21,2.37,0.0
2019-03-10,6.0761,19.31,42.91,0.2,1.73,0.0
2019-03-11,5.0366,21.09,41.6,37.04,2.7,0.15
2019-03-12,4.4234,20.25,49.53,63.6,2.47,0.02
2019-03-13,2.5519,18.75,42.05,90.19,1.82,0.0
2019-03-14,3.6178,19.6,44.28,48.39,2.16,1.22
2019-03-15,6.0247,19.24,46.77,1.8,2.16,0.0
2019-03-16,5.7161,19.56,42.35,45.15,1.99,0.0
2019-03-17,5.9011,20.47,36.75,40.73,1.68,0.0
2019-03-18,6.0526,20.84,37.72,23.1,1.59,0.0
2019-03-19,6.282,22.27,39.14,3.09,2.15,0.0
2019-03-20,5.6522,24.06,37.13,50.49,2.26,0.27
2019-03-21,5.8133,23.62,42.59,15.83,1.26,0.02
2019-03-22,6.5722,22.79,31.29,3.97,3.15,0.0
2019-03-23,6.3929,22.53,34.86,8.69,3.4,0.0
2019-03-24,6.3245,24.56,41.03,14.61,2.91,0.0
2019-03-25,5.387,23.89,42.13,41.91,2.28,0.01
2019-03-26,6.7886,23.4,35.68,0.96,2.65,0.0
2019-03-27,5.5862,24.01,32.52,53.06,2.15,0.0
2019-03-28,6.0778,27.03,30.98,30.55,1.8,0.0
2019-03-29,6.2868,28.79,34.06,27.13,1.49,0.0
2019-03-30,6.2316,29.59,34.57,49.97,1.0,0.22
2019-03-31,6.5172,27.13,26.72,6.85,2.88,0.01
2019-04-01,7.1906,25.45,24.6,4.78,2.85,0.0
2019-04-02,6.972,27.42,21.75,13.9,1.63,0.0
2019-04-03,6.9434,28.54,22.53,4.8,1.73,0.0
2019-04-04,6.7104,29.88,25.93,15.54,1.48,0.0
2019-04-05,6.5124,31.11,26.92,25.28,1.28,0.0
2019-04-06,6.4805,32.15,28.1,46.02,1.65,0.0
2019-04-07,5.5438,30.87,26.69,77.67,1.64,0.0
2019-04-08,6.2904,29.78,27.78,32.24,1.43,1.23
2019-04-09,6.6334,29.81,26.97,29.78,1.39,0.16
2019-04-10,6.4891,31.7,23.45,24.88,1.45,0.0
2019-04-11,6.4289,32.1,26.95,37.9,2.09,0.0
2019-04-12,5.7641,32.13,24.25,66.89,2.33,0.01
2019-04-13,6.775,32.12,29.12,22.5,2.69,0.09
2019-04-14,6.9122,32.44,27.56,17.98,3.09,0.0
2019-04-15,6.5676,33.51,27.35,43.83,3.56,0.0
2019-04-16,2.8476,28.37,43.59,99.14,2.83,0.53
2019-04-17,4.5242,23.42,67.98,90.18,2.74,15.18
2019-04-18,6.2914,24.64,57.4,30.33,1.38,1.78
2019-04-19,6.8244,26.47,41.33,5.41,1.83,0.0
2019-04-20,6.8086,27.59,37.53,11.61,1.6,0.0
