Date,Solar_Irradiance_MJ_m2,Temperature_C,Relative_Humidity_pct,Cloud_Fraction,Wind_Speed_ms,Precipitation_mm
2019-01-01,4.8454,22.99,28.82,36.46,2.2,0.0
2019-01-02,4.8917,23.28,28.92,24.41,1.7,0.0
2019-01-03,4.9478,23.45,31.22,11.84,1.63,0.0
2019-01-04,4.8931,23.6,31.3,12.62,2.0,0.0
2019-01-05,4.7323,23.53,35.35,17.07,1.65,0.0
2019-01-06,4.8828,23.07,34.39,13.19,2.2,0.0
2019-01-07,4.9978,23.0,30.35,13.64,2.43,0.0
2019-01-08,4.9135,22.81,27.21,12.81,2.78,0.0
2019-01-09,4.9433,22.59,29.19,12.54,1.68,0.0
2019-01-10,4.8458,22.81,29.65,14.52,2.24,0.0
2019-01-11,4.7702,22.83,33.32,12.47,1.63,0.0
2019-01-12,4.8614,22.79,34.45,12.43,1.55,0.0
2019-01-13,4.8895,22.55,37.12,12.02,1.86,0.0
2019-01-14,4.6872,24.38,30.12,12.69,2.53,0.0
2019-01-15,4.3951,24.99,32.28,11.27,2.86,0.0
2019-01-16,4.6651,25.21,39.07,10.06,2.35,0.0
2019-01-17,4.8869,25.32,30.35,9.57,1.98,0.0
2019-01-18,5.1338,25.21,27.24,14.14,1.96,0.0
2019-01-19,4.932,25.3,32.69,11.51,2.3,0.0
2019-01-20,4.7765,25.79,36.05,9.22,1.73,0.0
2019-01-21,4.8809,24.52,49.0,11.77,1.63,0.0
2019-01-22,4.7474,22.58,71.05,23.24,1.68,0.22
2019-01-23,5.1622,22.1,67.62,18.6,2.27,0.05
2019-01-24,5.2718,21.66,42.99,14.45,2.48,0.0
2019-01-25,5.1415,21.1,31.03,14.0,3.22,0.0
2019-01-26,4.5691,21.68,30.84,13.37,2.53,0.0
2019-01-27,4.7604,23.41,37.84,11.13,3.32,0.0
2019-01-28,5.2294,23.0,27.57,11.31,3.83,0.0
2019-01-29,5.4478,23.02,21.57,12.4,3.3,0.0
2019-01-30,5.5368,22.87,23.41,12.16,2.81,0.0
2019-01-31,5.4168,23.24,30.24,10.84,1.87,0.0
2019-02-01,5.1943,24.09,33.9,9.67,2.1,0.0
2019-02-02,4.885,24.39,34.29,16.14,2.08,0.0
2019-02-03,4.6658,25.73,37.16,17.3,1.87,0.0
2019-02-04,4.6046,26.79,41.78,69.11,2.92,0.0
2019-02-05,4.937,26.63,43.3,13.4,1.69,0.09
2019-02-06,5.2733,24.19,50.15,9.84,2.11,0.04
2019-02-07,5.3743,21.52,63.45,20.89,2.86,0.04
2019-02-08,5.6846,19.61,51.86,23.31,2.82,0.0
2019-02-09,6.0478,20.96,27.79,14.46,2.37,0.0
2019-02-10,6.0636,23.09,19.49,10.97,3.13,0.0
2019-02-11,5.9333,25.33,24.25,8.06,2.04,0.0
2019-02-12,5.3436,28.03,27.98,11.57,2.26,0.0
2019-02-13,4.8698,28.18,37.01,34.39,1.89,0.0
2019-02-14,5.4264,26.54,42.92,16.3,2.26,0.0
2019-02-15,5.9477,24.77,51.02,9.36,2.04,0.0
2019-02-16,6.0506,23.98,45.52,9.55,2.23,0.0
2019-02-17,6.0238,24.18,33.34,10.43,1.97,0.0
2019-02-18,6.0842,25.14,35.45,9.42,1.95,0.0
2019-02-19,6.0977,26.25,37.61,8.99,2.03,0.0
2019-02-20,5.7454,26.8,43.06,8.19,2.2,0.09
2019-02-21,5.6448,26.03,60.73,8.38,2.01,0.0
2019-02-22,5.7677,27.51,48.11,10.56,2.46,0.0
2019-02-23,6.0422,29.41,31.43,8.8,2.65,0.0
2019-02-24,6.0518,28.33,24.77,21.08,2.51,0.0
2019-02-25,6.2371,27.02,35.84,18.23,2.47,0.0
2019-02-26,6.1495,25.56,49.45,35.24,2.48,0.0
2019-02-27,5.9861,24.61,58.79,50.3,2.33,0.0
2019-02-28,6.491,25.03,43.29,10.57,2.05,0.0
2019-03-01,6.4692,25.92,28.96,8.02,1.92,0.0
2019-03-02,6.3818,26.61,47.38,8.69,2.5,0.01
2019-03-03,6.3257,25.47,65.57,13.34,2.05,0.04
2019-03-04,6.0384,25.13,69.31,22.89,2.25,0.15
2019-03-05,6.3914,25.39,61.08,14.07,2.0,0.0
2019-03-06,6.6914,24.45,52.92,9.5,2.35,0.0
2019-03-07,6.7195,25.54,50.12,8.94,2.42,0.0
2019-03-08,6.4056,26.96,39.9,8.29,2.32,0.0
2019-03-09,6.4795,27.64,37.07,10.51,2.32,0.04
2019-03-10,6.6802,28.04,33.7,11.42,2.29,0.0
2019-03-11,6.5374,26.08,53.63,14.94,2.41,0.01
2019-03-12,6.5306,26.44,52.21,15.13,2.08,0.0
2019-03-13,6.5038,26.16,50.69,25.67,2.65,0.0
2019-03-14,6.5976,26.11,46.95,21.56,3.06,0.0
2019-03-15,6.738,27.92,34.74,20.03,2.45,0.0
2019-03-16,6.7939,28.57,31.48,17.34,1.98,0.0
2019-03-17,6.9206,27.72,40.11,12.82,1.74,0.26
2019-03-18,6.8971,28.36,35.4,15.63,2.17,0.0
2019-03-19,6.9322,28.73,35.51,13.52,2.04,0.0
2019-03-20,6.7886,27.34,51.89,14.74,2.04,0.0
2019-03-21,7.0522,27.14,53.83,16.19,2.09,0.0
2019-03-22,6.8484,27.44,48.66,27.5,2.17,0.0
2019-03-23,6.8323,30.19,30.39,20.38,2.39,0.02
2019-03-24,6.8412,31.54,21.66,16.52,2.46,0.0
2019-03-25,6.5474,32.64,21.56,38.02,2.69,0.0
2019-03-26,7.0363,32.59,25.02,28.78,2.69,0.0
2019-03-27,7.2182,30.82,41.37,23.6,1.66,0.04
2019-03-28,6.9905,30.81,41.41,22.66,1.78,0.04
2019-03-29,6.9038,30.83,51.59,20.78,1.92,0.03
2019-03-30,6.7742,30.6,50.2,18.72,2.05,0.02
2019-03-31,6.9974,29.91,54.86,17.48,1.84,0.01
2019-04-01,7.3958,29.06,55.8,10.4,1.86,0.0
2019-04-02,7.3313,29.13,55.44,17.87,1.56,0.01
2019-04-03,7.0423,30.75,53.49,23.92,1.93,0.02
2019-04-04,6.8621,30.82,53.19,21.58,2.16,0.03
2019-04-05,6.8522,29.89,58.79,23.22,2.12,0.01
2019-04-06,7.0574,30.31,53.19,25.3,2.08,0.0
2019-04-07,7.2437,30.37,53.54,19.09,1.84,0.0
2019-04-08,7.3445,30.88,55.1,25.34,2.37,0.0
2019-04-09,7.3286,30.42,51.82,28.34,2.05,0.0
2019-04-10,7.3507,30.23,53.15,24.7,2.23,0.0
2019-04-11,7.2091,30.3,56.41,24.77,2.08,0.21
2019-04-12,7.0654,31.02,54.4,25.84,1.84,0.25
2019-04-13,6.804,32.32,42.86,40.79,2.48,0.12
2019-04-14,6.5407,32.53,48.93,40.94,1.97,0.28
2019-04-15,6.0677,30.85,49.74,51.03,1.65,1.56
2019-04-16,6.0902,30.0,55.17,45.58,2.32,0.55
2019-04-17,7.5629,28.94,48.4,16.92,2.69,0.0
2019-04-18,7.2662,28.67,51.46,25.46,2.93,0.0
2019-04-19,7.4486,30.18,50.45,16.56,2.17,0.0
